mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,74,75,76,84,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
77,5.537602002101044,13.964,4.356,0.793,0.731,0.156,0.59,0.411,0.328,0.446,0.605,0.125,0.5,0.417,0.162,0.549,0.688,0.195,75.342,0.443,0.392,0.359,0.477,4.0,0.0004742,5.792,3.295,1.0,0.410089,4.03858949,53.199993,99.090149,120.939468
78,10.045757490560677,22.992,3.931,1.066,0.821,0.152,0.581,0.461,0.33,0.691,0.535,0.373,0.583,0.431,0.243,0.509,0.473,0.323,119.097,0.457,0.533,0.419,0.435,7.0,0.0004693,7.731,3.281,1.0,0.546192,1.66863698,64.294144,141.956284,78.729568
79,7.136677139879544,10.189,7.782,0.144,0.562,0.161,0.472,0.46,0.211,0.353,0.309,0.035,0.321,0.389,0.076,0.447,0.376,0.087,81.872,0.381,0.232,0.262,0.303,9.0,0.0005095,5.628,4.864,1.0,0.379817,5.68322731,76.259453,92.179108,139.894699
80,7.619788758288394,11.166,7.409,0.444,0.587,0.158,0.495,0.551,0.216,0.291,0.376,0.045,0.391,0.398,0.09,0.376,0.427,0.102,90.981,0.421,0.237,0.293,0.301,8.0,0.000464,6.048,3.383,1.0,0.386489,3.65810419,73.403107,139.213715,59.817448
81,6.505845405981557,15.716,5.999,0.749,0.7,0.156,0.466,0.387,0.209,0.284,0.226,0.042,0.357,0.29,0.088,0.34,0.296,0.103,110.547,0.354,0.184,0.245,0.246,6.0,0.0004148,6.018,2.939,1.0,0.414279,10.9426407,48.642891,91.29052,61.464619
82,7.292429823902063,11.84,5.116,0.641,0.673,0.159,0.511,0.592,0.188,0.283,0.515,0.037,0.389,0.477,0.078,0.363,0.556,0.087,71.44,0.431,0.278,0.315,0.335,8.0,0.0004892,5.503,2.905,1.0,0.370513,2.78697154,70.51915,109.563339,81.747574
83,6.767003889607846,10.617,8.537,0.64,0.536,0.159,0.461,0.493,0.318,0.252,0.271,0.346,0.319,0.382,0.284,0.298,0.394,0.263,102.901,0.424,0.29,0.328,0.318,8.0,0.000447,5.84,2.893,1.0,0.38176,9.72381796,48.854774,85.482895,63.442535
84,6.899629454882437,16.56,5.927,0.891,0.708,0.159,0.511,0.447,0.281,0.249,0.243,0.244,0.353,0.328,0.183,0.339,0.335,0.223,118.193,0.413,0.245,0.288,0.299,5.0,0.0004934,6.444,3.128,1.0,0.40608,7.39929834,61.516247,88.207512,48.037865
85,7.481486060122112,16.863,3.718,1.491,0.764,0.159,0.511,0.36,0.4,0.327,0.33,0.386,0.386,0.279,0.39,0.363,0.298,0.43,93.383,0.424,0.348,0.352,0.364,10.0,0.0004827,6.212,2.957,1.0,0.416931,6.28691716,79.2033,76.106369,54.453369
86,7.356547323513812,19.49,3.134,0.978,0.826,0.159,0.509,0.337,0.354,0.498,0.172,0.124,0.438,0.229,0.176,0.426,0.231,0.218,83.197,0.4,0.265,0.281,0.292,8.0,0.000439,6.215,3.026,1.0,0.458262,7.65909046,54.577293,140.505554,61.079391
87,7.318758762624412,9.885,8.389,1.277,0.506,0.159,0.615,0.465,0.329,0.724,0.201,0.156,0.559,0.289,0.218,0.527,0.272,0.272,106.268,0.47,0.36,0.355,0.357,10.0,0.0004604,6.449,3.128,1.0,0.406049,6.96296476,75.807404,68.352539,89.991302
88,8.096910013008056,11.208,6.293,1.39,0.593,0.16,0.565,0.502,0.408,0.606,0.311,0.22,0.525,0.357,0.252,0.491,0.375,0.304,94.858,0.492,0.379,0.378,0.39,8.0,0.0004619,6.738,3.1,1.0,0.409325,8.17984651,67.194954,67.207932,88.460892
