mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
254,5.651695136951839,6.0,0.3176698,7.32,4.788,1.082,0.519387,11.7768451,59.50766,148.68103,135.075073
255,6.43533393574791,10.0,0.2477865,8.016,5.564,1.13,0.589826,1.87986746,70.644424,127.120453,140.190048
256,7.958607314841775,6.0,0.1975984,7.429,4.821,1.045,0.587311,3.86471964,44.420963,112.5821,105.138123
257,8.455931955649724,9.0,0.5092657,7.875,4.824,1.059,0.441477,9.27124231,84.304092,192.807358,276.123322
258,8.886056647693163,8.0,0.1422582,8.209,5.031,1.061,0.651239,3.82686673,68.283569,151.265472,300.166718
259,8.397940008672037,9.0,0.2562974,8.468,5.212,1.07,0.659139,5.39276281,50.100319,153.914108,109.031914
260,8.537602002101044,6.0,0.2994231,8.137,5.098,1.048,0.719598,8.21627818,57.893497,166.273499,137.523376
262,8.481486060122112,6.0,0.2595289,8.229,4.83,1.038,0.607133,4.8893066,61.329521,128.763519,119.96357
263,7.958607314841775,7.0,0.1893818,8.753,5.266,1.05,0.603568,5.36227166,79.04953,152.572037,128.989792
264,8.602059991327963,7.0,0.1729443,8.478,5.468,1.04,0.650403,3.45823739,62.946602,202.276855,137.775848
265,7.958607314841775,7.0,0.5073012,7.037,4.824,1.031,0.415902,6.40468077,75.923233,151.015137,124.713127
266,8.356547323513812,6.0,0.2287029,7.404,4.763,1.038,0.628216,4.88834502,61.189762,146.103821,104.527771
267,8.568636235841012,8.0,0.4355032,6.35,5.163,1.068,0.407895,8.9016657,72.412926,133.95372,114.210434
