mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
89,6.94692155651658,8.09,148.056,9.223,3.166,0.923,0.159,0.227,0.482,0.367,0.24,0.352,0.117,0.381,0.209,0.36,0.186,0.359,0.236,0.212,10.0,0.1916761,6.343,3.1,1.097,0.39508,3.57086044,59.855362,72.790855,76.946152
90,6.665546248849069,4.51,18.752,4.651,1.224,0.761,0.156,0.566,0.436,0.484,0.329,0.225,0.391,0.328,0.348,0.354,0.367,0.496,0.315,0.374,9.0,0.1108877,6.311,2.963,1.173,0.429348,9.80602905,63.326916,78.895538,68.052437
91,6.906578314837765,2.02,15.323,6.248,1.827,0.655,0.156,0.642,0.537,0.517,0.444,0.303,0.409,0.382,0.377,0.394,0.408,0.565,0.386,0.435,12.0,0.0943417,6.796,3.487,1.176,0.432277,9.03128874,100.884003,120.094933,101.222595
92,5.932557157223619,2.7,19.673,6.032,1.456,0.724,0.153,0.576,0.489,0.443,0.371,0.233,0.43,0.343,0.345,0.357,0.358,0.503,0.344,0.381,8.0,0.071033,6.769,4.131,1.132,0.456285,9.02509425,60.232983,128.59726,57.936218
93,7.173925197299173,7.56,268.912,199.423,3.515,0.57,0.153,0.873,0.451,0.511,0.912,0.496,0.265,0.4,0.371,0.259,0.317,0.611,0.558,0.428,9.0,0.1250896,6.782,4.453,1.076,0.47468,6.22885412,80.928825,105.034271,71.514061
94,7.769551078621726,1.0,27.096,3.516,1.457,0.845,0.151,0.584,0.331,0.388,0.378,0.179,0.213,0.234,0.225,0.306,0.216,0.434,0.257,0.304,11.0,0.1420235,6.768,4.778,1.127,0.504753,9.94812698,87.706024,135.566422,69.779182
95,5.823908740944319,5.5,269.781,16.835,1.769,0.935,0.151,0.276,0.519,0.421,0.18,0.339,0.376,0.41,0.366,0.409,0.371,0.405,0.299,0.311,9.0,0.1188559,7.26,4.405,1.181,0.488945,14.1771668,63.209442,93.950417,154.421021
96,5.881404634776238,1.77,21.676,7.777,1.839,0.693,0.151,0.58,0.393,0.486,0.344,0.204,0.451,0.274,0.407,0.316,0.398,0.486,0.333,0.363,12.0,0.0862258,7.203,4.492,1.176,0.489017,8.63146855,70.617935,107.265793,60.289452
97,6.218244625347531,0.65,28.791,18.979,2.767,0.57,0.156,0.032,0.597,0.5,0.381,0.002,0.169,0.007,0.397,0.02,0.379,0.376,0.184,0.161,14.0,0.0715183,6.456,4.201,1.049,0.457017,3.21165889,69.414902,991.233398,88.314903
98,6.471083299722345,6.3,27.397,4.609,1.375,0.821,0.151,0.522,0.344,0.455,0.328,0.208,0.319,0.256,0.337,0.319,0.327,0.44,0.285,0.321,12.0,0.1049088,7.355,4.189,1.158,0.511166,11.9032943,87.373039,124.556206,79.173195
99,6.586700235918748,8.47,7.731,5.635,0.246,0.568,0.165,0.509,0.526,0.175,0.498,0.18,0.012,0.266,0.044,0.332,0.07,0.403,0.23,0.286,6.0,0.0407957,4.929,4.582,1.052,0.331274,4.32998537,38.910709,45.405357,58.28513
100,6.698970004336019,9.16,12.494,3.758,0.855,0.73,0.168,0.601,0.402,0.262,0.406,0.286,0.263,0.278,0.172,0.255,0.202,0.422,0.318,0.346,7.0,0.1946462,5.26,3.39,1.032,0.373646,4.95467029,63.092079,91.707153,39.584805
