mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
101,7.795880017344075,4.25,39.972,7.72,1.508,0.812,0.155,0.036,0.401,0.312,0.003,0.12,0.05,0.193,0.13,0.159,0.25,0.047,0.102,8,0.1536311,5.195,4.272,1.138,0.410707,7.98243259,56.628014,293.017487,124.321083
102,7.920818753952375,5.02,53.909,11.777,0.766,0.811,0.16,0.065,0.49,0.307,0.003,0.052,0.509,0.128,0.629,0.13,0.287,0.202,0.26,7,0.1437314,4.921,4.145,1.264,0.390667,12.2802018,32.915703,279.422882,88.726311
103,7.920818753952375,3.32,13.367,2.777,0.923,0.783,0.157,0.451,0.396,0.294,0.272,0.053,0.288,0.124,0.423,0.11,0.38,0.267,0.363,11,0.1232368,5.188,4.18,1.168,0.402942,9.16581311,35.111256,281.86087,61.001537
104,7.920818753952375,4.33,121.666,22.128,4.788,0.819,0.164,0.102,0.099,0.459,0.004,0.005,0.02,0.172,0.038,0.26,0.22,0.027,0.11,8,0.0868088,4.488,3.499,1.214,0.316172,8.96925918,41.689365,235.411682,65.042435
105,8.070581074285707,7.97,13.633,2.601,1.787,0.757,0.154,0.525,0.469,0.468,0.257,0.156,0.295,0.279,0.377,0.232,0.487,0.329,0.429,5,0.1681544,5.648,3.281,1.193,0.413687,9.96809265,60.050644,256.713654,94.231194
106,8.102372908709558,1.88,215.285,8.755,1.315,0.955,0.157,0.545,0.383,0.459,0.462,0.119,0.37,0.214,0.318,0.263,0.462,0.381,0.364,8,0.1393019,5.295,4.109,1.2,0.376355,7.9680222,47.505592,335.030518,93.332848
107,8.207608310501746,6.33,28.807,6.624,1.042,0.79,0.16,0.045,0.417,0.36,0.461,0.114,0.412,0.178,0.367,0.151,0.274,0.234,0.179,10,0.1046122,4.932,3.94,1.356,0.379189,15.9903964,50.922401,258.541107,99.723572
109,8.327902142064282,7.57,253.517,2.371,1.232,0.986,0.151,0.429,0.441,0.41,0.311,0.119,0.332,0.208,0.409,0.222,0.427,0.379,0.409,10,0.0956112,5.699,3.745,1.383,0.438156,15.9477835,50.615578,304.898987,70.241074
110,8.619788758288394,0.77,16.969,3.391,0.969,0.796,0.153,0.571,0.423,0.379,0.285,0.072,0.315,0.163,0.397,0.171,0.457,0.303,0.417,9,0.1711906,5.968,4.144,1.192,0.435315,12.4141238,58.248631,314.579224,118.148476
113,5.337242168318426,3.35,11.007,2.077,0.243,0.826,0.177,0.576,0.501,0.399,0.477,0.063,0.312,0.18,0.376,0.185,0.492,0.422,0.435,4,0.1377012,4.614,2.343,1.084,0.36837,6.84968919,19.895536,39.718788,30.33523
114,5.508638306165727,5.72,10.487,1.215,1.014,0.825,0.18,0.598,0.355,0.41,0.403,0.064,0.202,0.131,0.743,0.102,0.454,0.28,0.449,3,0.0919966,4.126,2.208,1.113,0.318303,6.70391835,23.471939,43.947598,54.346443
115,5.537602002101044,3.17,236.223,3.638,1.486,0.979,0.167,0.955,0.47,0.405,0.329,0.187,0.324,0.258,0.357,0.244,0.61,0.524,0.524,4,0.1118071,5.887,2.946,1.144,0.398769,12.0240815,42.579308,36.409763,65.561554
116,5.585026652029182,2.83,18.359,2.613,0.306,0.863,0.165,0.531,0.399,0.225,0.372,0.191,0.3,0.154,0.413,0.129,0.385,0.304,0.32,6,0.169522,5.553,3.007,1.144,0.416667,10.1998324,58.054321,51.165779,73.701096
117,5.619788758288394,1.44,18.541,2.888,0.437,0.848,0.163,0.578,0.398,0.246,0.401,0.111,0.312,0.122,0.44,0.1,0.407,0.299,0.332,7,0.1140098,5.89,3.014,1.168,0.417858,11.4068567,39.99585,43.77858,88.62149
118,5.657577319177793,7.62,262.363,3.197,1.162,0.984,0.177,0.845,0.294,0.354,0.664,0.09,0.385,0.15,0.252,0.177,0.498,0.55,0.413,4,0.0357633,4.683,2.206,1.114,0.323872,7.78762075,21.08506,25.905653,58.743633
119,5.6777807052660805,9.57,33.802,10.751,0.674,0.747,0.177,0.047,0.583,0.3,0.415,0.048,0.493,0.111,0.575,0.152,0.31,0.308,0.247,4,0.1155935,4.728,2.309,1.077,0.357281,5.98896155,24.438282,35.204277,30.996759
120,5.698970004336019,0.69,191.301,2.892,1.547,0.977,0.172,0.903,0.461,0.475,0.855,0.291,0.416,0.318,0.631,0.21,0.613,0.649,0.526,3,0.1652138,4.831,2.274,1.048,0.372451,4.8279901,48.997501,56.752403,45.965664
121,5.769551078621726,4.01,258.16,8.771,0.473,0.965,0.174,0.979,0.481,0.438,0.329,0.321,0.369,0.281,0.313,0.285,0.633,0.562,0.513,7,0.1207258,4.577,2.791,1.133,0.324219,7.38515025,40.453346,42.319782,70.181114
