mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
102,7.920818753952375,5.79,44.324,13.416,1.212,0.752,0.16,0.03,0.487,0.447,0.494,0.001,0.05,0.455,0.341,0.505,0.571,0.321,0.182,0.362,9,0.0960459,5.35,4.011,1.268,0.394433,12.5609567,38.421974,251.066513,118.744659
103,7.920818753952375,6.71,13.008,2.828,0.84,0.78,0.157,0.442,0.395,0.255,0.465,0.28,0.045,0.294,0.108,0.432,0.094,0.364,0.263,0.359,11,0.1256054,5.698,4.282,1.189,0.398253,9.5656975,47.375229,272.982758,59.076157
104,7.920818753952375,2.61,8.051,2.443,0.925,0.705,0.164,0.569,0.418,0.299,0.53,0.303,0.063,0.319,0.132,0.496,0.109,0.429,0.299,0.421,7,0.0962663,4.545,3.329,1.202,0.314401,11.0299327,27.303497,244.028275,61.602669
105,8.070581074285707,2.64,17.127,2.48,0.727,0.842,0.154,0.509,0.437,0.271,0.536,0.28,0.051,0.304,0.11,0.492,0.101,0.406,0.289,0.412,8,0.0900896,5.902,3.281,1.188,0.440844,10.2696887,54.967739,258.643402,114.095306
106,8.102372908709558,5.43,10.073,2.326,1.501,0.725,0.157,0.514,0.413,0.394,0.679,0.246,0.117,0.32,0.198,0.608,0.178,0.441,0.347,0.438,10,0.0951573,5.351,4.047,1.146,0.37395,6.10285673,50.608978,304.065674,86.410522
107,8.207608310501746,9.96,10.34,2.641,1.004,0.739,0.16,0.554,0.436,0.332,0.758,0.247,0.079,0.308,0.148,0.542,0.131,0.441,0.361,0.417,9,0.0831795,5.156,4.155,1.375,0.380992,14.3777469,44.484142,252.672531,96.60434
109,8.327902142064282,3.34,15.398,3.074,0.951,0.793,0.151,0.524,0.454,0.354,0.554,0.354,0.072,0.358,0.155,0.454,0.162,0.444,0.327,0.421,10,0.1331892,5.884,4.051,1.379,0.423983,14.6541496,33.533043,267.387238,69.933403
110,8.619788758288394,0.32,17.143,2.771,1.669,0.794,0.154,0.586,0.458,0.44,0.538,0.287,0.105,0.327,0.22,0.43,0.174,0.495,0.31,0.425,9,0.163677,5.959,4.248,1.203,0.434054,13.0882564,44.397488,294.522003,103.178574
113,5.337242168318426,6.76,213.851,2.655,0.179,0.987,0.177,0.959,0.488,0.398,0.849,0.723,0.177,0.413,0.22,0.391,0.299,0.615,0.583,0.519,2,0.1184762,4.622,2.173,1.083,0.371244,6.56840869,22.987972,36.993362,20.589622
114,5.508638306165727,0.26,11.116,1.824,0.373,0.835,0.177,0.604,0.531,0.44,0.377,0.44,0.067,0.298,0.179,0.76,0.113,0.525,0.294,0.46,5,0.1077363,4.541,2.173,1.09,0.325653,7.18130026,23.965342,22.037661,52.270847
