mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
115,5.537602002101044,4.0,16.127,2.371,0.921,0.83,0.167,0.576,0.392,0.21,0.683,0.182,0.238,0.285,0.319,0.417,0.417,8,0.0999941,5.6,3.114,1.156,0.399069,11.91537,30.573654,60.553257,81.454926
116,5.585026652029182,0.52,18.559,2.508,0.697,0.853,0.165,0.553,0.404,0.27,0.475,0.301,0.291,0.331,0.4,0.381,0.384,6,0.2062447,5.869,3.142,1.13,0.42459,11.2602292,33.052212,58.789772,72.654785
117,5.619788758288394,5.99,18.608,2.684,0.708,0.846,0.163,0.583,0.385,0.325,0.412,0.278,0.292,0.245,0.422,0.235,0.36,8,0.1105106,6.035,3.013,1.163,0.419388,11.5146914,35.559025,44.544182,75.047684
118,5.657577319177793,5.77,220.246,9.167,0.52,0.958,0.177,0.309,0.508,0.32,0.327,0.631,0.43,0.338,0.455,0.438,0.45,5,0.0966544,4.606,2.343,1.115,0.322286,7.49102101,19.186983,20.732811,71.822128
119,5.6777807052660805,5.65,230.736,2.91,0.587,0.985,0.177,0.736,0.42,0.301,0.39,0.211,0.234,0.302,0.336,0.26,0.405,5,0.108117,4.885,2.275,1.078,0.355446,6.15278653,46.493973,46.234249,43.784279
120,5.698970004336019,6.72,133.673,9.137,0.736,0.931,0.172,0.197,0.505,0.307,0.281,0.086,0.422,0.129,0.329,0.198,0.265,5,0.1174904,5.214,2.343,1.052,0.374743,4.63511053,47.33107,40.450218,36.62775
121,5.769551078621726,7.06,219.205,1.868,1.641,0.984,0.174,0.963,0.432,0.427,0.368,0.199,0.317,0.278,0.301,0.142,0.545,6,0.1234484,4.616,2.619,1.13,0.321816,8.92405183,40.022812,40.639668,61.460548
122,5.769551078621726,4.34,10.82,1.526,0.798,0.823,0.177,0.598,0.514,0.481,0.58,0.075,0.332,0.182,0.48,0.14,0.338,4,0.120094,4.268,2.241,1.127,0.325208,7.55679562,21.970112,32.125156,43.945263
123,5.823908740944319,2.1,21.413,2.794,0.562,0.864,0.159,0.578,0.355,0.368,0.386,0.155,0.283,0.213,0.423,0.212,0.313,7,0.1749429,6.247,2.947,1.168,0.44557,10.310276,39.96442,195.08252,180.077744
124,5.958607314841775,7.94,11.157,2.346,0.923,0.773,0.171,0.575,0.396,0.3,0.729,0.127,0.294,0.389,0.406,0.453,0.4,5,0.1946379,5.113,2.617,1.099,0.341844,6.07290368,37.963131,30.864603,56.695023
125,6.0,5.14,274.414,116.307,2.369,0.698,0.163,0.379,0.216,0.401,0.153,0.498,0.187,0.391,0.14,0.299,0.362,11,0.1482073,5.955,3.505,1.123,0.459557,6.83868388,34.71246,63.492413,85.228539
126,6.0,1.15,22.423,2.335,0.398,0.891,0.162,0.569,0.441,0.213,0.46,0.258,0.299,0.214,0.396,0.209,0.382,6,0.044256,6.012,3.128,1.07,0.464251,6.14780361,26.819021,86.956345,77.234589
127,6.309803919971486,9.98,434.109,79.548,4.572,0.838,0.163,0.987,0.111,0.531,0.032,0.197,0.062,0.313,0.034,0.239,0.396,6,0.0499018,5.825,3.743,1.102,0.455109,7.26600952,66.3806,54.289661,83.887024
128,6.366531544420414,7.67,200.488,7.273,1.796,0.957,0.161,0.561,0.488,0.321,0.459,0.31,0.39,0.316,0.286,0.269,0.507,8,0.1440298,6.502,3.255,1.124,0.438572,10.0584617,35.94503,58.444221,85.052391
129,6.443697499232712,8.43,26.64,1.978,0.902,0.902,0.158,0.567,0.33,0.311,0.448,0.193,0.245,0.242,0.32,0.31,0.351,7,0.2072703,6.479,3.471,1.125,0.490573,10.5225246,66.179817,108.140991,95.252975
