mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
110,8.619788758288394,314.414,61.77,1.901,0.832,0.153,0.659,0.175,0.448,0.043,0.346,0.088,0.36,0.084,0.597,0.427,0.326,57432.107,9,0.1189,5.85,4.112,1.282,0.464534,13.6310219,42.906521,310.747284,127.429825
113,5.337242168318426,264.417,38.391,3.478,0.863,0.177,0.407,0.049,0.436,0.003,0.003,0.008,0.261,0.012,0.424,0.298,0.295,46816.768,2,0.1051758,4.821,2.343,1.083,0.368275,6.46400934,19.964838,38.101952,30.695665
114,5.508638306165727,305.252,2.303,0.389,0.991,0.177,0.924,0.43,0.506,0.445,0.435,0.342,0.305,0.548,0.302,0.62,0.636,1403.584,4,0.1403295,4.244,2.138,1.111,0.32226,6.57810436,17.598774,45.407112,29.004333
115,5.537602002101044,15.724,3.021,0.398,0.821,0.167,0.566,0.445,0.308,0.389,0.214,0.31,0.261,0.423,0.275,0.44,0.328,93.032,6,0.1452729,5.893,2.946,1.179,0.394857,10.2996733,51.275337,57.368702,68.178482
116,5.585026652029182,19.473,1.874,0.974,0.872,0.165,0.531,0.29,0.188,0.66,0.1,0.17,0.248,0.228,0.354,0.336,0.362,115.132,9,0.1021451,5.999,3.075,1.138,0.421896,6.13748502,23.855406,49.385372,57.795353
117,5.619788758288394,18.302,2.242,1.145,0.844,0.163,0.565,0.294,0.25,0.72,0.09,0.17,0.275,0.221,0.383,0.37,0.391,133.23,6,0.2148438,6.01,2.913,1.17,0.413324,9.45027615,53.962471,61.40107,61.115673
118,5.657577319177793,194.296,3.266,0.842,0.979,0.177,0.409,0.382,0.321,0.501,0.696,0.377,0.365,0.439,0.423,0.37,0.485,1533.823,4,0.0219317,4.846,2.241,1.115,0.321149,8.05157239,38.313938,30.576958,58.757599
119,5.6777807052660805,214.719,5.879,1.272,0.968,0.177,0.743,0.347,0.381,0.551,0.183,0.287,0.26,0.412,0.184,0.49,0.501,3370.597,5,0.1305739,4.66,2.41,1.077,0.348801,6.20988637,33.564938,38.581097,49.728947
120,5.698970004336019,153.512,10.689,1.059,0.929,0.172,0.344,0.583,0.378,0.477,0.222,0.519,0.232,0.773,0.206,0.435,0.375,3717.115,3,0.1539582,4.886,2.206,1.052,0.372607,5.50257217,64.295288,42.511158,88.428688
121,5.769551078621726,239.734,3.454,1.166,0.981,0.174,0.975,0.306,0.42,0.732,0.144,0.313,0.227,0.425,0.208,0.567,0.654,2320.976,6,0.1248367,4.719,2.856,1.131,0.321009,8.26892063,27.623007,39.602398,53.514221
122,5.769551078621726,10.916,1.369,1.027,0.82,0.177,0.606,0.441,0.478,0.636,0.091,0.269,0.164,0.559,0.138,0.508,0.361,56.219,4,0.0572507,4.453,2.275,1.129,0.327227,7.93024108,44.521397,35.471291,57.511398
123,5.823908740944319,299.16,9.002,0.981,0.968,0.159,0.516,0.444,0.359,0.432,0.674,0.439,0.309,0.503,0.432,0.44,0.461,5946.185,3,0.1996979,6.33,2.743,1.148,0.438832,10.3885191,58.65992,208.508163,172.185486
124,5.958607314841775,10.993,2.563,0.864,0.762,0.171,0.604,0.451,0.282,0.632,0.253,0.312,0.338,0.421,0.373,0.446,0.422,78.624,5,0.0663319,4.907,2.786,1.099,0.345834,9.30963618,34.183464,53.723785,70.868599
125,6.0,20.077,2.202,0.812,0.869,0.163,0.538,0.363,0.252,0.391,0.383,0.265,0.304,0.36,0.281,0.384,0.391,121.32,10,0.0572077,6.169,3.437,1.128,0.446854,10.3621414,107.534554,79.405914,80.408249
